name,a,b,c
sourcebus,1.0001,1.0001,1.0001
650,0.9981856862130911,0.998697285909337,0.9981190458645492
rg60,1.0488771939896957,1.0320815637341951,1.0486161561767902
633,1.0094509553807007,1.0204853754889298,0.9988260892421212
634,0.9856314825131368,1.0019735697805265,0.9799037785387206
671,0.9824407660358001,1.0319018406233986,0.9632414337307724
645,,1.0131730660451774,0.999558882523894
646,,1.0114409881853659,0.9975353528177138
692,0.9824407567230242,1.031901839481043,0.9632414262815924
675,0.975908631159195,1.0341899311483036,0.9613241797709862
611,,,0.9591797699702335
652,0.9749940695591438,,
670,1.002978941069864,1.0247263309574697,0.9876369427936578
632,1.01240032361443,1.0224053551631664,1.0014238732928853
680,0.9824407660358001,1.0319018406233986,0.9632414337307724
684,0.9805192137963132,,0.9612001645006518
